speaker,l1,target,vowel,word,vduration,syllables,srduration,speechrate,consonant,place,voicing,vowelht,vowelbk,context,
fbe5,eng,eng,a,oddball,0.125737616,4,1.033302413,3.871083576,d,alveolar,voiced,baja,central,closed,
fbe3,eng,eng,a,oddball,0.130224368,4,1.318227448,3.034377721,d,alveolar,voiced,baja,central,closed,
fbe4,eng,eng,a,oddball,0.171257976,4,1.196116394,3.344156154,d,alveolar,voiced,baja,central,closed,
mbe1,eng,eng,a,oddball,0.145875231,4,0.941604919,4.248066168,d,alveolar,voiced,baja,central,closed,
mbe2,eng,eng,a,oddball,0.170306151,4,1.397884173,2.861467407,d,alveolar,voiced,baja,central,closed,
mbe4,eng,eng,a,oddball,0.161739788,4,1.729001435,2.313474077,d,alveolar,voiced,baja,central,closed,
fbe1,eng,eng,a,oddball,0.13455709,4,1.090227323,3.668959597,d,alveolar,voiced,baja,central,closed,
fbe2,eng,eng,a,oddball,0.155485371,4,1.100082316,3.636091539,d,alveolar,voiced,baja,central,closed,
fbe2,eng,snh,a,cantadlo,0.121401176,7,1.431058307,4.891484829,d,alveolar,voiced,baja,central,closed,
fbe3,eng,snh,a,cantadlo,0.127156107,7,1.691263614,4.138917163,d,alveolar,voiced,baja,central,closed,
fbe4,eng,snh,a,cantadlo,0.144889633,7,1.393643791,5.022804283,d,alveolar,voiced,baja,central,closed,
mbe4,eng,snh,a,cantadlo,0.157532625,7,2.227357812,3.142737087,d,alveolar,voiced,baja,central,closed,
fbe1,eng,snh,a,cantadlo,0.097335365,7,1.083658893,6.459597245,d,alveolar,voiced,baja,central,closed,
mbe1,eng,snh,a,cantadlo,0.130276256,7,1.963475025,3.565107735,d,alveolar,voiced,baja,central,closed,
fbs2,snh,eng,a,oddball,0.166677421,4,0.968616972,4.129599332,d,alveolar,voiced,baja,central,closed,
fbs4,snh,eng,a,oddball,0.131124025,4,1.148253385,3.483551671,d,alveolar,voiced,baja,central,closed,
mbs1,snh,eng,a,oddball,0.20014139,4,1.686105805,2.372330365,d,alveolar,voiced,baja,central,closed,
mbs4,snh,eng,a,oddball,0.179294754,4,1.672206998,2.392048355,d,alveolar,voiced,baja,central,closed,
mbs5,snh,eng,a,oddball,0.09737341,4,1.399317647,2.858536094,d,alveolar,voiced,baja,central,closed,
fbs1,snh,eng,a,oddball,0.14980852,4,2.093357982,1.910805526,d,alveolar,voiced,baja,central,closed,
mbs3,snh,eng,a,oddball,0.089500037,4,1.913253323,2.090679761,d,alveolar,voiced,baja,central,closed,
fbs1,snh,snh,a,cantadlo,0.15200996,7,1.904291013,3.675908751,d,alveolar,voiced,baja,central,closed,
fbs2,snh,snh,a,cantadlo,0.11299031,7,1.62910428,4.296839734,d,alveolar,voiced,baja,central,closed,
fbs4,snh,snh,a,cantadlo,0.112203595,7,1.350169295,5.184535025,d,alveolar,voiced,baja,central,closed,
mbs1,snh,snh,a,cantadlo,0.102407981,7,1.031303805,6.787524653,d,alveolar,voiced,baja,central,closed,
mbs3,snh,snh,a,cantadlo,0.173862228,7,1.731613854,4.042471699,d,alveolar,voiced,baja,central,closed,
mbs4,snh,snh,a,cantadlo,0.146938132,6,1.809522113,3.315792582,d,alveolar,voiced,baja,central,closed,
mbs5,snh,snh,a,cantadlo,0.083189939,7,1.203721488,5.815298697,d,alveolar,voiced,baja,central,closed,
fbe3,eng,eng,a,yahtzee,0.070026053,4,1.342459482,2.979605757,t,alveolar,voiceless,baja,central,closed,
fbe4,eng,eng,a,yahtzee,0.095272602,4,1.012792357,3.949476883,t,alveolar,voiceless,baja,central,closed,
fbe5,eng,eng,a,yahtzee,0.132280976,4,1.050022501,3.809442176,t,alveolar,voiceless,baja,central,closed,
mbe1,eng,eng,a,yahtzee,0.105612757,4,0.941604899,4.248066257,t,alveolar,voiceless,baja,central,closed,
mbe2,eng,eng,a,yahtzee,0.161427202,4,1.06637014,3.751042767,t,alveolar,voiceless,baja,central,closed,
mbe4,eng,eng,a,yahtzee,0.136750071,4,1.691070874,2.365365085,t,alveolar,voiceless,baja,central,closed,
fbe1,eng,eng,a,yahtzee,0.104896656,4,0.956382451,4.182427225,t,alveolar,voiceless,baja,central,closed,
fbe2,eng,eng,a,yahtzee,0.093663549,4,0.977326322,4.092798803,t,alveolar,voiceless,baja,central,closed,
fbe2,eng,snh,a,atlas,0.117049989,6,1.17116496,5.123104095,t,alveolar,voiceless,baja,central,closed,
fbe3,eng,snh,a,atlas,0.11544033,6,1.490118184,4.02652626,t,alveolar,voiceless,baja,central,closed,
fbe4,eng,snh,a,atlas,0.121920545,6,1.195067603,5.020636477,t,alveolar,voiceless,baja,central,closed,
fbe5,eng,snh,a,atlas,0.095737176,6,1.023763211,5.860730231,t,alveolar,voiceless,baja,central,closed,
mbe4,eng,snh,a,atlas,0.124686754,6,1.969694312,3.046157957,t,alveolar,voiceless,baja,central,closed,
fbe1,eng,snh,a,atlas,0.11276143,6,0.967848019,6.199320433,t,alveolar,voiceless,baja,central,closed,
mbe1,eng,snh,a,atlas,0.062348913,6,1.08495197,5.530198725,t,alveolar,voiceless,baja,central,closed,
mbe2,eng,snh,a,atlas,0.150059059,6,1.360111711,4.411402352,t,alveolar,voiceless,baja,central,closed,
fbs2,snh,eng,a,yahtzee,0.136799281,4,0.928894447,4.306194327,t,alveolar,voiceless,baja,central,closed,
fbs4,snh,eng,a,yahtzee,0.130650706,4,1.091176431,3.665768327,t,alveolar,voiceless,baja,central,closed,
mbs2,snh,eng,a,yahtzee,0.126329656,4,1.555571616,2.571402023,t,alveolar,voiceless,baja,central,closed,
